發生時間,發生地點,死亡人數,車種
108年01月01日 01時28分00秒,高雄市岡山區成功路台上351路燈號前0.0公尺前,1,普通重型-機車;自用-小貨車(含客、貨兩用)
108年01月01日 01時54分00秒,臺北市北投區竹子湖路前0.0公尺,1,普通重型-機車
108年01月01日 09時38分00秒,苗栗縣三灣鄉台3線 103公里北側向外側,1,大型重型1(550C.C.以上)-機車
108年01月01日 16時12分54秒,宜蘭縣大同鄉台7線 98公里200.0公尺處東側向路肩,1,自用-小客車;乘客-人
108年01月01日 22時16分00秒,臺中市新社區協中里協中街前0.0公尺,1,普通重型-機車
108年01月02日 01時52分00秒,桃園市中壢區中山東路3段口 / 桃園市中壢區龍慈路口,1,自用-小客車;自用-小客車;乘客-人;乘客-人
108年01月02日 03時17分00秒,臺北市大安區敦化南路2段 / 臺北市大安區信義路4段,1,普通重型-機車;自用-小客車
108年01月02日 08時23分00秒,高雄市大寮區里鳳屏二路 / 高雄市大寮區江山路,1,自用-小客車;普通重型-機車
108年01月02日 11時33分08秒,臺南市安定區國道1號 311公里南側向交流道,1,營業用-半聯結車
108年01月02日 18時01分00秒,新北市新店區新烏路3段310-1號前0.0公尺,1,自用-小貨車(含客、貨兩用);行人-人
108年01月02日 20時15分00秒,雲林縣元長鄉潭東村135794燈桿前,1,普通重型-機車
108年01月03日 03時12分00秒,雲林縣斗南鎮將軍里溫厝角重光國小後方產業道路,1,普通重型-機車
108年01月03日 05時59分00秒,基隆市七堵區明德一路 / 基隆市七堵區自治北街,1,普通重型-機車;行人-人;普通重型-機車;普通重型-機車
108年01月03日 06時06分00秒,臺南市新化區全興里中山路882號,1,行人-人;遊覽車-大客車
108年01月03日 07時20分00秒,基隆市安樂區基金一路230號前0.0公尺,1,行人-人;普通重型-機車
108年01月03日 16時48分00秒,高雄市大樹區三和路45號前0.0公尺,1,普通重型-機車
108年01月03日 19時15分20秒,苗栗縣頭份市中正一路140巷口,1,自用-小客車;行人-人
108年01月04日 05時52分54秒,桃園市中壢區中堅里中山東路3段401號前0.0公尺東側,1,自用-小客車;行人-人
108年01月04日 06時27分00秒,苗栗縣苗栗市至公路642號(魚市場)對向車道,1,自用-小貨車(含客、貨兩用);行人-人
108年01月04日 07時45分00秒,桃園市龍潭區竹龍路268號前0.0公尺北側,1,自用-小客車;普通重型-機車;普通重型-機車
108年01月04日 09時45分00秒,宜蘭縣冬山鄉復興路東側 / 宜蘭縣冬山鄉新邦路東側,1,普通重型-機車;營業用-大貨車
108年01月04日 12時53分00秒,雲林縣西螺鎮公館里雲71鄉道近公館橋,1,普通重型-機車
108年01月04日 13時39分32秒,屏東縣竹田鄉竹田鄉六巷村六巷三路與東西十一路,1,普通重型-機車;自用-小貨車(含客、貨兩用)
108年01月04日 16時09分00秒,彰化縣埤頭鄉大湖村中央路 / 彰化縣埤頭鄉大湖村公館路,1,自用-小客車;電動自行車-慢車
108年01月04日 17時45分00秒,新北市三重區環河北路前0.0公尺,1,普通重型-機車;自用-小客車
108年01月04日 18時12分00秒,彰化縣和美鎮月眉里和港路 / 彰化縣和美鎮月眉里北辰路,1,拖車(架)-其他車;普通重型-機車
108年01月05日 04時33分00秒,高雄市左營區自由四路27號前0.0公尺前,1,自用-小客車;普通重型-機車;自用-小客車
108年01月05日 09時15分00秒,新北市三重區車路頭街139巷1弄前0.0公尺,1,自用-小客車;行人-人
108年01月05日 15時00分00秒,雲林縣古坑鄉舊草嶺公路草嶺79號電桿處,1,腳踏自行車-慢車
108年01月05日 19時30分50秒,新竹市北區東大路三段465號北側,1,普通重型-機車;自用-小貨車(含客、貨兩用);自用-小客車
108年01月06日 03時20分43秒,基隆市七堵區國道1號 3公里600.0公尺處南側,1,自用-小客車;乘客-人
108年01月06日 03時49分00秒,高雄市小港區大業南路54號前0.0公尺,1,普通重型-機車
108年01月06日 14時02分00秒,臺中市南屯區新生里環中路三段前0.0公尺,1,普通重型-機車;自用-小客車;營業用-半聯結車;乘客-人
108年01月06日 15時03分00秒,高雄市鳥松區中正路293號前0.0公尺,1,普通重型-機車;自用-小客車
108年01月06日 15時33分00秒,桃園市蘆竹區南崁路2段口 / 桃園市蘆竹區南工路口,1,普通重型-機車;民營公車-大客車
108年01月06日 19時10分21秒,新竹縣竹東鎮中豐路3段307號,1,行人-人;自用-小客車
108年01月07日 03時40分00秒,嘉義縣中埔鄉同仁村台3線291公里處,1,自用-小貨車(含客、貨兩用)
108年01月07日 09時37分54秒,臺南市七股區南25-1 7公里附近向路肩,1,普通重型-機車
108年01月07日 13時27分00秒,桃園市蘆竹區國道1號 50公里700.0公尺處南側向外側,1,自用-小貨車(含客、貨兩用);遊覽車-大客車
108年01月07日 17時20分18秒,臺南市新市區社內里新港社大道口 / 臺南市新市區社內里南科聯絡道口,1,自用-小客車;普通重型-機車
108年01月07日 22時53分00秒,新北市淡水區淡金路4段 / 新北市淡水區淡金路4段,1,普通重型-機車;普通重型-機車
108年01月08日 03時10分00秒,苗栗縣公館鄉沿山道和大東路,1,自用-小客車;營業用-曳引車
108年01月08日 07時00分00秒,高雄市橋頭區成功路12號前0.0公尺,1,普通重型-機車
108年01月08日 07時01分00秒,雲林縣西螺鎮七座里產業道路(11068786號電錶處),1,自用-小客車;普通重型-機車
108年01月08日 18時26分00秒,臺北市中山區自強隧道前0.0公尺,1,遊覽車-大客車;普通重型-機車
108年01月08日 19時05分00秒,嘉義市西區慶安里博愛路1段 / 嘉義市西區慶安里北興街,1,自用-小客車;腳踏自行車-慢車
108年01月09日 06時03分00秒,高雄市仁武區鳳仁路263號前0.0公尺,1,自用-小客車;營業用-曳引車;乘客-人
108年01月09日 07時00分00秒,桃園市楊梅區中山南路口 / 桃園市楊梅區中山南路口,1,自用-大貨車;普通重型-機車
108年01月09日 07時14分08秒,臺南市仁德區文華路2段前0.0公尺,1,普通重型-機車;營業用-大貨車
108年01月09日 17時05分00秒,臺南市麻豆區寮廍里市道176線寮子廍166-17號前0.0公尺口,1,自用-大貨車;營業用-大貨車
108年01月09日 21時40分00秒,臺北市士林區中山北路6段前0.0公尺,1,普通重型-機車;腳踏自行車-慢車;自用-小貨車(含客、貨兩用)
108年01月09日 23時26分00秒,彰化縣社頭鄉湳雅村山腳路3段679號前0.0公尺,1,自用-小客車;自用-小客車;乘客-人;其他人-人
108年01月09日 23時43分00秒,新北市瑞芳區四腳亭埔路 / 新北市瑞芳區臺62線道路,1,營業用-曳引車
108年01月10日 04時13分00秒,高雄市大寮區188縣道萬大橋上橋號前0.0公尺,1,普通重型-機車;自用-小貨車(含客、貨兩用)
108年01月10日 08時14分00秒,桃園市桃園區中山路609號前0.0公尺北側,1,普通重型-機車;營業用-全聯結車;民營公車-大客車
108年01月10日 12時55分00秒,高雄市旗山區廣清路14-1號前0.0公尺前,1,自用-小貨車(含客、貨兩用)
108年01月10日 13時20分00秒,桃園市大園區環區西路545號號前0.0公尺附近,1,普通輕型-機車
108年01月10日 17時10分00秒,高雄市鳳山區善政街 / 高雄市鳳山區善志街,1,普通重型-機車;自用-小貨車(含客、貨兩用)
108年01月10日 18時38分00秒,臺北市內湖區環山路3段 / 臺北市內湖區環山路3段,1,自用-小客車;普通重型-機車;乘客-人;乘客-人
108年01月10日 18時50分00秒,雲林縣斗六市明德北路一段398號前,1,普通重型-機車;自用-小客車
108年01月11日 05時26分00秒,雲林縣西螺鎮國道1號 230公里800.0公尺處北側向外側,1,自用-小客車;營業用-半聯結車;其他人-人;營業用-大貨車
108年01月11日 09時05分00秒,宜蘭縣蘇澳鎮蘇濱路口 / 宜蘭縣蘇澳鎮馬賽路口,1,普通重型-機車;自用-小客車
108年01月11日 09時36分00秒,臺中市北屯區松竹里崇德路二段321號前0.0公尺,1,自用-小客車;普通重型-機車;自用-小貨車(含客、貨兩用)
108年01月11日 10時12分53秒,苗栗縣後龍鎮新港六路與豐富六路口,1,民營公車-大客車;普通重型-機車
108年01月11日 11時22分54秒,花蓮縣花蓮市民權路口 / 花蓮縣花蓮市民權八街口,1,普通重型-機車;自用-小客車
108年01月11日 15時59分00秒,臺中市清水區下湳里014鄰中山路446之08號前0.0公尺,1,自用-小客車;腳踏自行車-慢車
108年01月11日 16時35分00秒,彰化縣芳苑鄉台17線 50公里600.0公尺處南側向外側,1,普通重型-機車;乘客-人
108年01月11日 21時42分00秒,新北市泰山區泰林路 / 新北市泰山區新北大道,1,自用-小客車;普通重型-機車
108年01月11日 23時39分01秒,花蓮縣壽豐鄉中華路二段(和榮橋北端),1,普通重型-機車
108年01月12日 00時00分00秒,新北市板橋區民生路2段前0.0公尺,1,普通重型-機車
108年01月12日 01時07分00秒,高雄市前鎮區瑞隆路 / 高雄市前鎮區永豐路,1,自用-小客車;行人-人
108年01月12日 12時26分00秒,臺中市太平區宜佳里新平路二段125巷14號前0.0公尺,1,動力機械-其他車;其他人-人
108年01月12日 13時05分00秒,新北市三峽區復興路120號前0.0公尺,1,普通重型-機車;自用-小貨車(含客、貨兩用)
108年01月12日 14時19分00秒,新北市新店區國道3號 29公里100.0公尺處南側向內側,1,自用-小客車;自用-小客車;乘客-人;乘客-人
108年01月12日 14時40分00秒,臺南市安平區安北路口 / 臺南市安平區州平路口,1,普通重型-機車;自用-小客車;乘客-人
108年01月12日 19時09分00秒,新北市土城區中央路4段213號前0.0公尺,1,自用-小貨車(含客、貨兩用);行人-人
108年01月12日 19時13分55秒,臺中市神岡區國道1號 168公里500.0公尺處北側向外側,1,普通重型-機車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-小客車
108年01月13日 02時33分00秒,嘉義縣水上鄉國道1號 272公里300.0公尺處南側向中線,1,自用-小客車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-小客車;自用-小客車;乘客-人
108年01月13日 05時26分37秒,苗栗縣苑裡鎮房裡里中山路與忠信街路口,1,自用-小客車;行人-人
