發生時間,發生地點,死亡人數,車種
108年01月13日 05時50分00秒,屏東縣枋寮鄉中山路與中華路口,1,普通重型-機車;腳踏自行車-慢車
108年01月13日 11時40分45秒,新竹縣寶山鄉科環路段,1,腳踏自行車-慢車
108年01月13日 14時20分00秒,臺南市南化區台20線 48公里600.0公尺處西側向路肩,1,大型重型1(550C.C.以上)-機車
108年01月13日 16時04分00秒,桃園市新屋區東興路2段1788號前0.0公尺附近,1,自用-小貨車(含客、貨兩用)
108年01月13日 16時50分00秒,嘉義縣民雄鄉菁埔村菁埔1之10號,1,營業用-曳引車;普通重型-機車
108年01月13日 17時34分00秒,高雄市仁武區澄觀路2段 / 高雄市仁武區澄觀路2段,1,營業用-曳引車;普通重型-機車
108年01月13日 18時05分10秒,南投縣中寮鄉龍南路77-4號,1,普通重型-機車;行人-人
108年01月13日 18時12分00秒,臺北市士林區延平北路5段 / 臺北市士林區葫蘆街,1,普通重型-機車;行人-人
108年01月13日 19時30分22秒,宜蘭縣冬山鄉珍珠ㄧ路73號前0.0公尺附近,1,自用-小客車
108年01月14日 02時27分00秒,臺北市內湖區成功路5段前0.0公尺,1,自用-小客車
108年01月14日 04時18分00秒,臺南市玉井區台3線 376公里300.0公尺處南側,2,自用-小客車;農耕用車(或機械)-其他車;乘客-人
108年01月14日 08時00分12秒,臺南市後壁區菁豐里區道南84線前0.0公尺口,1,普通重型-機車;自用-小客車
108年01月14日 09時10分00秒,臺中市梧棲區永寧里永興路一段前0.0公尺,1,普通重型-機車;自用-小貨車(含客、貨兩用)
108年01月14日 17時28分14秒,雲林縣麥寮鄉三盛村工業路590巷,1,自用-小客車;普通重型-機車
108年01月14日 21時33分00秒,高雄市楠梓區大學十街 / 高雄市楠梓區高雄大學路,1,自用-小客車;普通重型-機車
108年01月15日 08時30分34秒,臺南市白河區秀祐里市道172線前0.0公尺西側,1,自用-小客車;營業用-大貨車
108年01月15日 12時42分00秒,臺北市北投區行義路154巷前0.0公尺,1,普通重型-機車;乘客-人
108年01月15日 15時56分00秒,新北市板橋區板林路 / 新北市板橋區滿平街,1,普通輕型-機車;行人-人
108年01月15日 17時00分00秒,新北市蘆洲區長榮路 / 新北市蘆洲區永康街,1,普通重型-機車;普通重型-機車
108年01月15日 18時15分44秒,南投縣竹山鎮延和里集山路3段南側 / 南投縣竹山鎮延和里鹿山路東側,1,自用-小客車;普通輕型-機車
108年01月15日 21時34分00秒,臺中市西屯區何仁里文心路三段119號前0.0公尺,1,遊覽車-大客車;普通重型-機車
108年01月16日 05時18分00秒,臺中市大里區大里里大里路432號前0.0公尺,1,普通重型-機車;行人-人
108年01月16日 05時30分00秒,臺中市大安區中庄里南安路88號前0.0公尺,1,普通重型-機車;自用-全聯結車
108年01月16日 12時15分00秒,桃園市平鎮區台66線 19公里西側向中內,1,自用-小貨車(含客、貨兩用)
108年01月16日 13時20分00秒,高雄市仁武區澄觀路1段文武0974燈號前0.0公尺,1,普通重型-機車
108年01月16日 19時12分08秒,桃園市大溪區瑞安路2段口 / 桃園市大溪區瑞安路2段口,1,自用-小貨車(含客、貨兩用);行人-人;自用-小客車
108年01月16日 20時15分00秒,臺中市豐原區豐田里豐原大道三段286巷前0.0公尺,1,普通重型-機車
108年01月16日 22時46分00秒,新北市淡水區民權路 / 新北市淡水區民權路,1,計程車-小客車;普通重型-機車
108年01月17日 05時43分00秒,臺中市西區藍興里三民路一段前0.0公尺,1,自用-小客車;行人-人
108年01月17日 06時15分23秒,屏東縣枋寮鄉台17線 272公里700.0公尺處南側,1,租賃車-小客車
108年01月17日 08時59分00秒,新北市板橋區光環路1段 / 新北市板橋區光中路,1,自用-小客車;行人-人
108年01月17日 11時35分00秒,宜蘭縣蘇澳鎮台2線 165公里54.0公尺處北側向中線,1,自用-小客車;自用-大貨車
108年01月17日 11時47分00秒,新竹縣竹北市華興街與華興街357巷口,1,普通重型-機車;乘客-人;自用-小客車
108年01月17日 18時06分00秒,高雄市橋頭區村南溝路2段仕和039電桿號前0.0公尺,1,普通重型-機車
108年01月17日 19時27分00秒,臺中市后里區公館里三豐路五段716巷前0.0公尺,1,自用-小客車;行人-人
108年01月17日 20時23分00秒,新北市板橋區環河西路5段 / 新北市板橋區板城路,1,自用-小貨車(含客、貨兩用);普通重型-機車
108年01月18日 00時47分58秒,苗栗縣西湖鄉國道3號 136公里100.0公尺處南側,1,營業用-半聯結車;營業用-半聯結車;營業用-大貨車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;營業用-大貨車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用)
108年01月18日 01時16分50秒,南投縣竹山鎮集山路三段14號前,1,普通重型-機車
108年01月18日 07時54分00秒,桃園市大溪區復興路1段口 / 桃園市大溪區頭寮一路口,1,自用-小貨車(含客、貨兩用);行人-人
108年01月18日 08時56分00秒,臺北市大安區和平東路3段60號前0.0公尺,1,租賃車-小客車;營業用-曳引車;普通重型-機車
108年01月18日 11時30分00秒,基隆市安樂區湖海路二段編號68506燈桿處,1,普通重型-機車
108年01月18日 12時11分00秒,雲林縣西螺鎮河南里興農西路與頂茄塘路口,1,自用-大貨車;普通重型-機車
108年01月18日 13時00分00秒,彰化縣芳苑鄉三成村小西路前0.0公尺,1,自用-小貨車(含客、貨兩用);自用-小客車;行人-人;乘客-人
108年01月18日 13時22分46秒,苗栗縣竹南鎮開元里開元路與開元路487巷口,1,自用-小貨車(含客、貨兩用);普通重型-機車
108年01月19日 03時10分52秒,臺南市東區中華東路1段口 / 臺南市東區小東路口,1,自用-小客車;普通重型-機車
108年01月19日 17時36分05秒,雲林縣麥寮鄉六輕聯絡道,1,自用-小客車
108年01月19日 18時43分00秒,雲林縣林內鄉重興村重興185-6號前,1,自用-小客車;普通重型-機車
108年01月19日 18時50分00秒,屏東縣萬丹鄉上村村和平西路口 / 屏東縣萬丹鄉上村村大圳路口,2,普通重型-機車;自用-小客車;乘客-人
108年01月19日 20時35分00秒,彰化縣溪湖鎮東寮里彰水路4段60號前0.0公尺前,1,自用-小客車;行人-人
108年01月20日 04時27分00秒,高雄市左營區民族一路928之1號前0.0公尺前,1,營業用-曳引車;普通重型-機車
108年01月20日 05時53分00秒,臺中市西區忠明里臺灣大道前0.0公尺,1,普通重型-機車;乘客-人
108年01月20日 11時45分00秒,彰化縣埔心鄉東門村中正路1段322號前0.0公尺前,1,行人-人;普通重型-機車
108年01月20日 14時05分00秒,花蓮縣秀林鄉台8線 167公里600.0公尺處東側向路肩,1,大型重型1(550C.C.以上)-機車
108年01月20日 19時33分00秒,桃園市平鎮區建明路1段269巷前0.0公尺口,1,普通重型-機車;行人-人
108年01月21日 07時33分00秒,臺中市南屯區中和里南光路前0.0公尺,1,電動輔助自行車-慢車;自用-小貨車(含客、貨兩用)
108年01月21日 11時09分00秒,彰化縣秀水鄉安東村彰水路1段340號前100.0公尺南側,1,普通重型-機車;行人-人
108年01月21日 17時33分00秒,花蓮縣富里鄉81縣道1.4公里,1,自用-小貨車(含客、貨兩用)
108年01月21日 19時50分00秒,澎湖縣馬公市縣204線 3公里970.0公尺處西側向外側,1,普通重型-機車;自用-小貨車(含客、貨兩用)
108年01月21日 20時36分00秒,高雄市三民區民族一路58號前0.0公尺,1,普通輕型-機車;自用-小客車
108年01月21日 21時49分00秒,屏東縣麟洛鄉中山路66號前,1,普通重型-機車;自用-小客車;乘客-人;乘客-人
108年01月22日 01時05分00秒,臺北市文山區羅斯福路5段50號前0.0公尺,1,普通重型-機車;乘客-人
108年01月22日 05時43分00秒,新北市三重區重新路4段 / 新北市三重區集美街,1,自用-小客車;行人-人
108年01月23日 07時30分00秒,屏東縣萬巒鄉成德村保安路11-6號前,1,普通重型-機車
108年01月23日 08時21分23秒,臺南市北區中華北路1段西側 / 臺南市北區安明路觀海橋北側,2,營業用-大貨車;普通輕型-機車;乘客-人
108年01月23日 14時55分00秒,臺中市潭子區福仁里中山路前0.0公尺,1,自用-大貨車;普通重型-機車
108年01月23日 16時50分00秒,南投縣埔里鎮仁愛路25號前,1,普通重型-機車;普通重型-機車
108年01月23日 17時11分10秒,嘉義縣太保市新埤里台18線道3.2公里與產業道路口,1,自用-大貨車;普通重型-機車
108年01月23日 18時05分00秒,臺北市內湖區潭美街195號前0.0公尺,1,普通重型-機車;行人-人
108年01月23日 18時55分21秒,桃園市蘆竹區南竹路2段125號號前0.0公尺南側,1,普通重型-機車;自用-小貨車(含客、貨兩用)
108年01月23日 19時48分00秒,新北市蘆洲區捷運機廠門口附近,1,普通重型-機車;自用-小客車;乘客-人;乘客-人
108年01月23日 22時50分00秒,臺中市大里區大元里環中東路七段前0.0公尺,3,自用-小貨車(含客、貨兩用);計程車-小客車;自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人
108年01月24日 02時14分00秒,臺中市西屯區何南里臺灣大道二段825號前0.0公尺,1,普通重型-機車;自用-小客車
108年01月24日 09時05分10秒,雲林縣口湖鄉過港村過港路124號前0.0公尺,1,普通重型-機車;普通重型-機車
108年01月24日 09時45分00秒,宜蘭縣南澳鄉台9丁線15公里900公尺,1,營業用-曳引車
108年01月24日 10時27分00秒,臺南市新化區山脚里省道臺19甲線頂山腳53之20號前0.0公尺口,1,普通重型-機車;自用-小客車;乘客-人
108年01月24日 10時56分53秒,桃園市中壢區月眉路2段176號前0.0公尺,1,普通重型-機車
108年01月24日 12時15分00秒,彰化縣埔鹽鄉瓦󿾨村光明路2段167-4號前0.0公尺,1,營業用-小貨車(含客、貨兩用);普通重型-機車
108年01月24日 17時17分00秒,高雄市彌陀區光和路2-5號前0.0公尺前,1,普通重型-機車;行人-人;乘客-人
108年01月24日 19時52分00秒,雲林縣水林鄉雲164公路(水林27號電桿旁),1,普通重型-機車;自用-小貨車(含客、貨兩用)
108年01月24日 21時15分00秒,嘉義縣六腳鄉六腳村六腳5號前,1,普通重型-機車
108年01月25日 06時06分27秒,臺南市麻豆區海埔里市道171線大山腳1之12號前0.0公尺西側,1,行人-人;自用-小貨車(含客、貨兩用)
108年01月25日 07時49分00秒,新北市鶯歌區堤外道路前0.0公尺,1,大型重型2(250-550C.C.)-機車;普通重型-機車;乘客-人
108年01月25日 09時40分03秒,屏東縣新園鄉新園村新南路360號,1,自用-小貨車(含客、貨兩用)
108年01月25日 10時54分00秒,臺南市北區和緯路1段口 / 臺南市北區旭日街,1,普通重型-機車;民營客運-大客車
108年01月25日 12時05分35秒,宜蘭縣大同鄉樂水村宜51縣道10.5公里前方50公尺處,1,普通重型-機車;自用-小客車
108年01月25日 12時17分00秒,桃園市新屋區大坡里大坡路362號前50.0公尺附近,1,普通重型-機車
108年01月25日 12時24分39秒,苗栗縣竹南鎮海口里西濱公路93公里往北慢車道,1,營業用-全聯結車;普通重型-機車
108年01月25日 14時56分27秒,臺中市外埔區國道3號 167公里700.0公尺處南側向內側,1,自用-小客車;自用-小客車;自用-小客車
108年01月25日 15時50分48秒,苗栗縣後龍鎮東明里頂浮尾40-8號附近,1,自用-小客車;普通重型-機車
108年01月25日 18時11分00秒,雲林縣土庫鎮埤腳里扶朝土地公廟旁,1,腳踏自行車-慢車;自用-小客車
108年01月25日 19時25分00秒,臺東縣池上鄉縣197線 9公里100.0公尺處附近,1,自用-大貨車
108年01月25日 21時00分00秒,屏東縣屏東市和生路一段前0.0公尺,1,普通重型-機車;自用-小貨車(含客、貨兩用)
108年01月26日 04時35分00秒,新竹市香山區延平路二段817-2號,1,自用-小客車;普通重型-機車;乘客-人
108年01月26日 08時38分18秒,苗栗縣苑裡鎮中山路與天下路口,1,自用-小客車;電動自行車-慢車
108年01月26日 13時09分59秒,嘉義縣太保市過溝里瓦厝45之15號前,2,自用-小客車;乘客-人
108年01月26日 16時25分12秒,嘉義縣溪口鄉本厝村本廳37號前,1,普通重型-機車;自用-小客車
108年01月26日 19時46分00秒,臺北市萬華區環河快速道路前0.0公尺,1,自用-小客車;大型重型2(250-550C.C.)-機車;乘客-人;乘客-人
108年01月27日 02時52分00秒,嘉義縣溪口鄉國道1號 252公里830.0公尺處北側向外側,1,自用-小客車;自用-小客車;自用-小客車;自用-小貨車(含客、貨兩用);自用-小客車;營業用-半聯結車;乘客-人
108年01月27日 08時53分00秒,雲林縣莿桐鄉饒平村產業道路口,1,普通重型-機車;自用-小貨車(含客、貨兩用)
108年01月27日 11時07分00秒,新北市板橋區華江三路 / 新北市板橋區華江五路,1,營業用-半聯結車;普通重型-機車
108年01月27日 18時19分00秒,彰化縣芳苑鄉漢寶村大同路393弄28號前0.0公尺,1,普通重型-機車
108年01月28日 05時26分28秒,臺南市南區中華西路1段23號前0.0公尺北側,1,普通重型-機車;乘客-人
108年01月28日 08時02分00秒,花蓮縣壽豐鄉志學村中山路3段口 / 花蓮縣壽豐鄉志學村中山路3段口,1,普通重型-機車;自用-小客車
108年01月28日 10時00分00秒,臺東縣臺東市大和路91巷前0.0公尺,1,普通重型-機車
108年01月28日 22時05分00秒,花蓮縣玉里鎮縣193線 103公里800.0公尺處南側,1,自用-小客車
108年01月29日 05時36分00秒,桃園市大溪區復興路2段口 / 桃園市大溪區環湖路口,1,普通重型-機車;行人-人;乘客-人
108年01月29日 07時49分36秒,金門縣金寧鄉伯玉路2段口 / 金門縣金寧鄉盤果路口,1,自用-小客車;普通重型-機車
108年01月29日 14時42分00秒,澎湖縣湖西鄉澎13號道6.9公里處,1,自用-小客車;乘客-人;乘客-人
108年01月29日 14時59分43秒,屏東縣東港鎮興東里沿海路76號,1,腳踏自行車-慢車;營業用-大貨車
108年01月29日 17時06分53秒,南投縣埔里鎮樹人路163號前0.0公尺,1,普通重型-機車;普通重型-機車;自用-小客車
108年01月29日 23時40分00秒,高雄市三民區博愛一路271號前0.0公尺,1,計程車-小客車;普通重型-機車;自用-小客車;普通重型-機車
108年01月30日 07時33分00秒,臺中市太平區平安里鵬儀路214巷6弄前0.0公尺,1,自用-小客車;普通重型-機車
108年01月30日 13時05分00秒,屏東縣里港鄉中山南路口 / 屏東縣里港鄉里中路口,1,營業用-曳引車;腳踏自行車-慢車
108年01月30日 16時10分00秒,臺中市大安區中庄里中山南路前0.0公尺,1,普通重型-機車
108年01月30日 16時10分44秒,臺東縣大武鄉台9線 438公里450.0公尺處西側,1,普通重型-機車;自用-小客車
108年01月30日 17時19分00秒,雲林縣崙背鄉水尾村下街40-10號前,1,普通重型-機車;自用-小貨車(含客、貨兩用)
108年01月30日 19時59分00秒,嘉義縣太保市新埤里台18線近4KM往東,1,普通重型-機車;乘客-人
108年01月31日 08時30分01秒,雲林縣口湖鄉雲147線與雲143線口,1,自用-小貨車(含客、貨兩用);普通重型-機車
108年01月31日 13時39分00秒,臺南市安南區安吉路3段南側 / 臺南市安南區安順庄大道附近,1,營業用-半聯結車;普通重型-機車
108年01月31日 14時40分00秒,高雄市美濃區中興路1段前 / 高雄市美濃區中興路1段,1,普通重型-機車;自用-小貨車(含客、貨兩用)
108年02月01日 00時49分00秒,高雄市仁武區高楠公路28號前0.0公尺,1,普通重型-機車
108年02月01日 07時35分00秒,臺南市將軍區台17線 151公里300.0公尺處口,1,普通重型-機車;自用-小客車
108年02月01日 07時59分00秒,臺南市六甲區甲東里市道165線前0.0公尺,1,自用-小客車;普通重型-機車
108年02月01日 08時36分03秒,苗栗縣苑裡鎮新復里新復五路與新復十六路口,1,自用-小客車;普通重型-機車
108年02月01日 15時56分00秒,嘉義縣大林鎮三村里潭墘嘉100線2公里100公尺處,1,普通重型-機車
108年02月01日 20時31分00秒,彰化縣芳苑鄉漢寶村草漢路漢寶段前0.0公尺,1,自用-小貨車(含客、貨兩用);普通重型-機車
108年02月02日 00時11分00秒,嘉義縣民雄鄉菁埔村164線27公里200公尺處,1,普通重型-機車;自用-大貨車;乘客-人
108年02月02日 04時02分00秒,臺中市大里區永隆里國光路二段333號前0.0公尺,2,自用-小貨車(含客、貨兩用);普通重型-機車;普通重型-機車;計程車-小客車;普通重型-機車;自用-小客車;自用-小客車;自用-小客車;租賃車-小客車
108年02月02日 06時16分00秒,高雄市鳳山區過埤路 / 高雄市鳳山區過勇路,1,行人-人;自用-小貨車(含客、貨兩用)
108年02月02日 09時54分00秒,新北市新莊區中正路 / 新北市新莊區龍安路,1,自用-小客車;大型重型2(250-550C.C.)-機車;乘客-人
108年02月02日 15時20分00秒,臺中市大甲區西岐里順帆路40巷2號前0.0公尺,1,自用-小客車;普通重型-機車
108年02月02日 19時33分00秒,彰化縣花壇鄉岩竹村環山路53號前0.0公尺前,1,行人-人;普通重型-機車
108年02月02日 20時56分00秒,高雄市橋頭區仕隆南路 / 高雄市橋頭區成功南路,1,大型重型2(250-550C.C.)-機車;行人-人
108年02月03日 01時25分00秒,苗栗縣獅潭鄉台三線110.1公里處,1,普通重型-機車
108年02月03日 01時43分39秒,南投縣埔里鎮信義路台14線55.95公里處,1,自用-大貨車;普通重型-機車
108年02月04日 05時08分00秒,嘉義縣義竹鄉後鎮村172線5公里300公尺處,1,腳踏自行車-慢車;自用-小客車
108年02月04日 15時56分00秒,基隆市仁愛區南榮路503之1號(梵宇天閣)前,1,普通重型-機車;自用-小客車
108年02月04日 21時50分00秒,臺中市西屯區上德里臺灣大道三段前0.0公尺,1,自用-小客車;大型重型1(550C.C.以上)-機車;乘客-人
108年02月05日 00時49分00秒,高雄市鳳山區鳳仁路184號前0.0公尺,1,普通重型-機車;租賃車-小客車
108年02月05日 14時44分38秒,嘉義縣六腳鄉蒜頭村村里道路(電桿:蒜頭46分14東3NO799GE50),1,普通重型-機車
108年02月05日 18時15分00秒,臺東縣長濱鄉台11線 84公里100.0公尺處北側向中線,1,自用-小客車;行人-人
108年02月05日 19時42分00秒,臺南市東區北門路2段12號北側,1,行人-人;普通重型-機車;自用-小客車;乘客-人
108年02月05日 20時57分00秒,臺中市北區新興里公園路前0.0公尺,1,普通重型-機車;普通重型-機車;乘客-人
