發生時間,發生地點,死亡人數,車種
109年01月04日 17時52分00秒,臺中市后里區墩南里南村路333巷42之1號前0.0公尺,1,普通重型-機車;普通重型-機車;乘客-人
109年01月04日 22時10分30秒,苗栗縣通霄鎮國道3號 152公里700.0公尺處南側向外側,1,營業用-大貨車;自用-小客車;自用-小客車;乘客-人
109年01月05日 02時30分52秒,新竹縣芎林鄉文山路800號前,1,自用-小客車
109年01月05日 03時02分00秒,屏東縣枋山鄉台1線 457公里500.0公尺處北側,2,自用-小客車;乘客-人
109年01月05日 11時44分00秒,臺中市北屯區舊社里松竹路一段前0.0公尺,1,普通重型-機車;自用-小貨車(含客、貨兩用)
109年01月05日 12時51分00秒,臺中市北屯區同榮里環中路一段前0.0公尺,1,普通重型-機車;乘客-人
109年01月05日 13時15分00秒,臺東縣長濱鄉台11線 94公里800.0公尺處北側向路肩,1,自用-小客車;乘客-人
109年01月05日 14時26分00秒,南投縣名間鄉員集路前0.0公尺,1,自用-小客車;乘客-人;乘客-人;乘客-人
109年01月05日 19時48分00秒,桃園市平鎮區國道1號 65公里100.0公尺處北側向中線,1,自用-小客車;計程車-小客車;乘客-人;乘客-人;乘客-人
109年01月05日 23時58分00秒,臺南市永康區東橋里東橋五路口 / 臺南市永康區東橋里東橋十街口,1,自用-小客車;普通重型-機車;乘客-人
109年01月06日 04時42分35秒,臺南市安平區安北路口 / 臺南市安平區古堡街口,1,自用-小客車;腳踏自行車-慢車;乘客-人
109年01月06日 08時50分00秒,高雄市旗津區旗津三路 / 高雄市旗津區安樂巷,1,普通重型-機車;自用-小客車
109年01月06日 11時25分00秒,臺北市中正區中華路1段 / 臺北市中正區漢口街1段,1,自用-小貨車(含客、貨兩用);行人-人
109年01月06日 17時00分00秒,新竹市香山區竹香北路221040桿,1,普通重型-機車
109年01月06日 19時18分00秒,臺南市新化區全興里竹子腳226之1號前,1,普通重型-機車;自用-小貨車(含客、貨兩用)
109年01月06日 19時18分00秒,新北市新店區北新路1段 / 新北市新店區力行路,1,自用-小貨車(含客、貨兩用);行人-人
109年01月07日 01時24分00秒,高雄市大寮區188縣道 / 高雄市大寮區光明路2段,1,普通重型-機車;自用-小客車;自用-小客車;普通重型-機車
109年01月07日 04時05分00秒,高雄市岡山區岡山南路 / 高雄市岡山區阿公店路2段,1,自用-小客車;普通重型-機車
109年01月07日 17時40分00秒,高雄市美濃區中山路1段 / 高雄市美濃區泰安路,1,普通重型-機車;自用-小貨車(含客、貨兩用)
109年01月08日 01時48分00秒,屏東縣枋寮鄉台1線 431公里400.0公尺處,1,普通重型-機車;營業用-全聯結車
109年01月08日 07時17分00秒,南投縣南投市南崗一路口 / 南投縣南投市大庄路口,1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人
109年01月08日 07時30分00秒,臺中市中區公園里自由路二段前0.0公尺,1,自用-小客車;行人-人
109年01月08日 07時43分00秒,彰化縣芳苑鄉路平村上林路路上段前0.0公尺,1,普通輕型-機車;普通重型-機車
109年01月08日 12時22分45秒,苗栗縣後龍鎮埔頂里高鐵六路487巷8號旁,1,普通重型-機車
109年01月08日 12時59分00秒,嘉義縣朴子市永和里台82線橋下便道與161縣道路口,1,自用-大貨車;普通重型-機車
109年01月08日 14時30分00秒,嘉義縣竹崎鄉和平村台3線與166線路口,1,自用-小貨車(含客、貨兩用);普通重型-機車
109年01月08日 19時23分00秒,臺中市霧峰區本堂里中正路760號前0.0公尺,1,自用-小客車;普通重型-機車
109年01月08日 22時43分00秒,高雄市楠梓區藍田路 / 高雄市楠梓區大學二十三街,1,自用-小客車;腳踏自行車-慢車
109年01月09日 06時09分00秒,彰化縣芬園鄉竹林村彰南路4段 / 彰化縣芬園鄉竹林村太平路,1,自用-小客車;腳踏自行車-慢車
109年01月09日 08時23分00秒,彰化縣溪湖鎮西溪里員鹿路2段 / 彰化縣溪湖鎮西溪里忠工路,1,營業用-半聯結車;行人-人
109年01月09日 08時32分00秒,彰化縣溪州鄉大庄村新生巷前0.0公尺,1,自用-小客車;租賃車-小客車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人
109年01月09日 19時55分46秒,臺南市東區崇興路上(近崇聖路二段),1,普通重型-機車;行人-人
109年01月09日 21時53分00秒,彰化縣北斗鎮大新里民生路7號前0.0公尺前,1,普通重型-機車;乘客-人
109年01月10日 08時37分00秒,桃園市桃園區萬壽路3段與山鶯路口附近(M109010521)武陵所,1,普通重型-機車;普通重型-機車;自用-小貨車(含客、貨兩用);自用-小客車
109年01月10日 10時44分00秒,高雄市旗山區旗屏二路 / 高雄市旗山區高92鄉道,1,普通重型-機車;自用-小客車
109年01月10日 11時05分00秒,嘉義縣水上鄉寬士村24鄰崎子頭167號前,1,普通重型-機車;普通重型-機車
109年01月10日 11時39分00秒,屏東縣長治鄉中興路578號長治國中前,1,腳踏自行車-慢車;自用-小客車
109年01月10日 12時03分00秒,屏東縣萬巒鄉新置村新榮路20號前0.0公尺,1,自用-小客車;普通重型-機車
109年01月10日 15時23分00秒,臺南市七股區台17線 159公里100.0公尺處南側,1,自用-小貨車(含客、貨兩用);普通重型-機車
109年01月10日 16時30分00秒,臺南市新營區太北里太子路北側 / 臺南市新營區太東街口,1,普通重型-機車;租賃車-小客車;乘客-人
109年01月10日 19時32分30秒,金門縣金城鎮浯江北堤路42號前,1,行人-人;計程車-小客車
109年01月10日 20時43分00秒,高雄市岡山區本洲路401號前0.0公尺前,1,計程車-小客車;腳踏自行車-慢車
109年01月11日 00時37分00秒,屏東縣新園鄉港崗路78號,1,普通重型-機車;乘客-人
109年01月11日 01時36分00秒,新北市鶯歌區堤外道路前0.0公尺,1,自用-小客車;乘客-人;乘客-人
109年01月11日 07時08分00秒,臺中市西區公館里三民西路53號前0.0公尺,1,普通重型-機車;普通重型-機車;自用-小客車
109年01月11日 10時04分00秒,桃園市新屋區高鐵南路口 / 桃園市新屋區梅高路口,1,自用-小客車;普通重型-機車;普通重型-機車;乘客-人
109年01月11日 10時25分00秒,屏東縣九如鄉昌榮路慈玄宮前,1,電動自行車-慢車;自用-小貨車(含客、貨兩用)
109年01月11日 19時21分00秒,嘉義縣東石鄉掌潭村台61線266公里500公尺處南向車道。,1,營業用-全聯結車;自用-小客車;自用-小客車;自用-小客車
109年01月11日 20時51分00秒,新北市土城區金城路3段228號前0.0公尺,1,普通重型-機車;營業用-大貨車;乘客-人;乘客-人
109年01月12日 19時32分00秒,雲林縣莿桐鄉義和村三和74之5號旁產業道路,1,普通重型-機車
109年01月13日 00時15分17秒,宜蘭縣礁溪鄉中山路2段133號前0.0公尺附近,1,自用-小客車;行人-人
109年01月13日 10時24分00秒,嘉義縣鹿草鄉光潭村下潭362之1號北側10公尺處路口,1,普通重型-機車;自用-小貨車(含客、貨兩用)
109年01月13日 11時40分00秒,彰化縣溪州鄉尾厝村溪下路4段332號前0.0公尺,1,自用-小貨車(含客、貨兩用);乘客-人
109年01月13日 13時44分00秒,嘉義縣番路鄉觸口村台18線31公里400公尺處,1,普通重型-機車;自用-小貨車(含客、貨兩用)
109年01月13日 17時05分00秒,臺中市北屯區舊社里旱溪西路三段前0.0公尺,1,普通重型-機車;營業用-大貨車
109年01月13日 17時47分13秒,雲林縣二崙鄉復興村台19線與南昌路口,1,普通重型-機車;自用-大貨車
109年01月13日 18時10分37秒,桃園市中壢區中正路2段43號前0.0公尺北側,1,營業用-小貨車(含客、貨兩用);普通重型-機車
109年01月13日 23時00分00秒,新北市新店區中正路前0.0公尺,1,行人-人;自用-小客車
109年01月13日 23時15分00秒,新北市土城區擺接堡路前0.0公尺,1,普通重型-機車
109年01月14日 02時20分03秒,南投縣信義鄉台16線 29公里西側向路肩,1,自用-小客車;乘客-人
109年01月14日 06時48分00秒,桃園市龜山區東萬壽路18.5K處,1,普通重型-機車
109年01月14日 07時17分00秒,屏東縣里港鄉舊鐵道路、屏15線,1,自用-小貨車(含客、貨兩用);大型重型2(250-550C.C.)-機車
109年01月14日 13時10分00秒,屏東縣滿州鄉縣200線 12公里西側,1,普通重型-機車
109年01月14日 14時50分00秒,臺南市安定區嘉同里市道178線六塊寮18-6號前0.0公尺,1,普通重型-機車;自用-大貨車;自用-大貨車;自用-大貨車;乘客-人
109年01月14日 17時53分50秒,臺南市新市區環西路一段近南科南路口。,1,自用-小客車;自用-小客車
109年01月14日 18時01分39秒,新竹縣關西鎮大德街190號前,1,自用-小客車;自用-小貨車(含客、貨兩用);自用-小客車;乘客-人
109年01月15日 00時15分00秒,高雄市路竹區中山南路 / 高雄市路竹區民主路,1,營業用-曳引車;普通重型-機車
109年01月15日 00時48分00秒,高雄市橋頭區芋寮路317號前0.0公尺,1,普通重型-機車
109年01月15日 07時11分00秒,雲林縣崙背鄉羅厝村156縣道東興40-1號,1,腳踏自行車-慢車;自用-小客車
109年01月15日 09時05分00秒,臺南市安定區海寮里區道南132線海寮124-1號前0.0公尺,1,自用-小客車;普通重型-機車
109年01月15日 15時30分00秒,臺南市南區明興路前0.0公尺西側,1,普通重型-機車
109年01月15日 16時35分59秒,臺南市仁德區仁義里中山路口 / 臺南市仁德區仁義里中山路口,1,普通重型-機車
109年01月15日 18時45分00秒,南投縣名間鄉庄仔巷5-3號前,1,普通重型-機車;普通重型-機車;乘客-人
109年01月16日 06時45分00秒,臺南市仁德區太子里太子路附近 / 臺南市仁德區太子里土庫路口,1,自用-小客車;普通重型-機車
109年01月16日 09時48分00秒,桃園市大園區三石里7鄰63-8號前產業道路,1,自用-小貨車(含客、貨兩用);腳踏自行車-慢車
109年01月16日 14時15分12秒,臺南市永康區永中街81號附近,1,營業用-大貨車;行人-人
109年01月16日 17時39分00秒,桃園市新屋區望間里望間路357巷路燈桿(0409279)旁,1,普通重型-機車
109年01月16日 18時38分00秒,新北市鶯歌區堤外道路前0.0公尺,1,普通重型-機車
109年01月16日 19時21分00秒,臺中市西屯區惠來里惠來路前0.0公尺,1,計程車-小客車;行人-人
109年01月16日 20時57分00秒,彰化縣芬園鄉縣庄村彰南路2段 / 彰化縣芬園鄉縣庄村縣芬路,1,農耕用車(或機械)-其他車
109年01月16日 21時26分36秒,桃園市觀音區大觀路2段139號前0.0公尺北側,1,行人-人;自用-小客車
109年01月16日 23時36分00秒,屏東縣屏東市中正路西側 / 屏東縣屏東市公裕街北側,1,自用-大貨車;行人-人;普通重型-機車;普通重型-機車
109年01月17日 00時39分00秒,雲林縣虎尾鎮墾地里墾地3-27號前,1,自用-小客車
109年01月17日 06時15分00秒,雲林縣莿桐鄉六合村東興路64號前0.0公尺,1,自用-小貨車(含客、貨兩用);普通重型-機車
109年01月17日 08時38分00秒,雲林縣虎尾鎮林森路2段口 / 雲林縣虎尾鎮吉安街口,1,普通重型-機車;普通重型-機車
109年01月17日 09時00分00秒,臺北市中正區水源路1-9號前0.0公尺,1,普通重型-機車
109年01月17日 11時45分00秒,新北市深坑區北深路1段 / 新北市深坑區深南路,1,自用-小貨車(含客、貨兩用);普通重型-機車
109年01月17日 12時10分00秒,新北市土城區復興街 / 新北市土城區勝利街,1,自用-小貨車(含客、貨兩用);普通重型-機車
109年01月17日 15時31分00秒,臺中市豐原區南陽里南陽路59巷25-6號前0.0公尺,1,自用-小貨車(含客、貨兩用);普通重型-機車
109年01月17日 17時00分08秒,南投縣草屯鎮新豐里中正路與中正路1178巷口,1,行人-人;普通重型-機車
109年01月17日 20時53分00秒,雲林縣虎尾鎮埒內里葉厝15電桿旁路口,1,普通重型-機車;自用-小客車
109年01月17日 22時00分00秒,臺南市柳營區士林里仁愛路071號路燈旁,1,自用-小客車
109年01月18日 08時08分07秒,臺南市學甲區新達里華宗路448號前,1,營業用-大貨車;行人-人
109年01月18日 11時38分00秒,彰化縣伸港鄉全興村中興路3段308號前0.0公尺,1,普通重型-機車;營業用-小貨車(含客、貨兩用)
109年01月18日 15時34分00秒,高雄市大樹區三和路三和橋處號前0.0公尺,1,普通重型-機車;自用-小客車
109年01月18日 16時45分42秒,臺南市善化區國道3號 347公里100.0公尺處南側向中線,1,自用-小貨車(含客、貨兩用);乘客-人
109年01月18日 17時00分00秒,新北市三重區仁華街 / 新北市三重區仁華街,1,普通重型-機車;自用-小貨車(含客、貨兩用);普通重型-機車
109年01月18日 19時31分00秒,嘉義市西區湖內里民生南路933附1號前0.0公尺,1,電動自行車-慢車;普通重型-機車
109年01月18日 21時14分42秒,宜蘭縣三星鄉上將路五段口 / 宜蘭縣三星鄉廣富路口,1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人
109年01月19日 09時23分54秒,屏東縣南州鄉萬華路段,1,普通重型-機車
109年01月19日 09時56分00秒,新北市蘆洲區永樂街 / 新北市蘆洲區環堤大道路,1,自用-小客車;自用-小客車;行人-人
109年01月19日 18時40分00秒,高雄市大樹區三和路三和橋處號前0.0公尺,1,普通重型-機車;自用-小客車;乘客-人
109年01月19日 19時03分16秒,苗栗縣大湖鄉苗62線2.4公里處西向,1,大型重型1(550C.C.以上)-機車;乘客-人
109年01月19日 23時58分26秒,臺南市東區裕農路口 / 臺南市東區裕農三街口,1,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人
109年01月20日 07時55分00秒,嘉義縣中埔鄉同仁村同仁32-1號(台3線292公里300公尺處),1,普通重型-機車;自用-小客車
109年01月20日 11時07分05秒,新北市鶯歌區國道3號 52公里900.0公尺處南側向外側,1,營業用-大貨車;自用-小貨車(含客、貨兩用);自用-小客車;租賃車-小客車;乘客-人;乘客-人
109年01月20日 16時50分06秒,宜蘭縣南澳鄉金岳橋南端與宜55線路口,1,普通重型-機車
109年01月21日 00時14分00秒,金門縣金沙鎮陽沙路3144燈桿路段,1,自用-小客車
109年01月21日 01時35分00秒,新北市林口區臺61線道路前0.0公尺,1,營業用-曳引車;營業用-曳引車
109年01月21日 02時26分46秒,新竹縣新豐鄉松柏林路坑子口105-20號前0.0公尺,1,普通重型-機車
109年01月21日 06時25分18秒,新竹市北區中央路口 / 新竹市北區中正路口,1,公營客運-大客車;行人-人
109年01月21日 06時45分00秒,高雄市三民區九如三路 / 高雄市三民區中峰街,2,自用-小客車;乘客-人
109年01月21日 15時10分07秒,臺南市歸仁區武東里台39慢車道往南陸橋與歸仁二路,1,普通重型-機車;乘客-人;乘客-人
109年01月21日 19時05分50秒,新竹縣關西鎮國道3號 76公里500.0公尺處北側向輔助,1,自用-小客車;自用-小客車;自用-小客車;自用-小貨車(含客、貨兩用);自用-小客車
109年01月22日 05時27分46秒,臺南市永康區永康里中山路南側 / 臺南市永康區永康里中山南路東側,1,行人-人;自用-小客車
109年01月22日 09時00分00秒,臺南市學甲區三慶里南13線紅茄高幹46號電線桿旁路口,1,普通重型-機車;普通重型-機車
109年01月22日 11時52分00秒,桃園市觀音區大觀路1段口 / 桃園市觀音區大觀路1段,1,普通重型-機車;租賃車-小客車;自用-小客車
109年01月22日 14時25分00秒,雲林縣四湖鄉溪尾村產業道路(侯天宮往東100公尺處),1,普通重型-機車
109年01月22日 19時48分50秒,臺東縣太麻里鄉台9線 385公里800.0公尺處北側向外側,1,普通重型-機車;自用-大貨車
109年01月22日 20時47分00秒,屏東縣萬巒鄉萬金村營區路一巷往馬仕部落路段,1,普通重型-機車
109年01月23日 07時25分00秒,臺南市安平區世平路東側 / 臺南市安平區世平一街南側,1,普通重型-機車;民營公車-大客車;乘客-人
109年01月23日 07時40分09秒,屏東縣瑪家鄉三和一路中14路,1,普通重型-機車;自用-小客車;乘客-人
109年01月23日 12時07分46秒,花蓮縣瑞穗鄉中山路2段附近 / 花蓮縣瑞穗鄉瑞達路1段附近,1,腳踏自行車-慢車;自用-小客車
109年01月23日 13時13分31秒,雲林縣二崙鄉楊賢村路燈054號旁水溝,1,普通重型-機車
109年01月23日 15時54分00秒,臺中市霧峰區北勢里北岸路246號前0.0公尺,1,普通重型-機車
109年01月23日 18時32分51秒,臺南市官田區二鎮里二鎮4之6號前,1,自用-小客車;行人-人
109年01月23日 21時46分00秒,臺中市北屯區廍子里廍子路321號前0.0公尺,1,普通重型-機車
109年01月24日 04時23分00秒,高雄市苓雅區三多四路 / 高雄市苓雅區自強三路,1,自用-小貨車(含客、貨兩用);行人-人
109年01月24日 10時00分00秒,臺東縣蘭嶼鄉東80 8公里500.0公尺處,1,普通重型-機車;自用-小貨車(含客、貨兩用)
109年01月24日 18時54分00秒,臺南市永康區中山北路701號附近(永康高幹100號),1,普通重型-機車;自用-小貨車(含客、貨兩用)
109年01月24日 20時06分00秒,高雄市大寮區鳳屏二路高屏大橋號前0.0公尺,1,普通重型-機車;普通重型-機車;自用-小客車;租賃車-小客車
109年01月24日 20時42分00秒,新竹市北區湳雅街口 / 新竹市北區金竹路口,1,自用-小客車;普通重型-機車
109年01月24日 23時40分00秒,屏東縣恆春鎮南灣路段,1,普通重型-機車
109年01月25日 05時22分12秒,屏東縣屏東市台1線 392公里100.0公尺處向外側,1,普通重型-機車;腳踏自行車-慢車;自用-小客車
109年01月25日 10時52分00秒,高雄市左營區左營大路2-59號前0.0公尺,1,行人-人;普通重型-機車
109年01月25日 12時40分00秒,嘉義縣中埔鄉中崙村台3線300公里800公尺處附近,1,普通重型-機車;自用-小客車
109年01月25日 13時35分00秒,高雄市旗山區旗甲路3段旗林179電桿號前0.0公尺前,1,普通重型-機車;乘客-人
109年01月25日 13時45分00秒,臺南市安定區安定里安定54-9號,1,普通重型-機車;自用-小客車
109年01月25日 14時40分00秒,屏東縣南州鄉七塊路4號,1,普通重型-機車
109年01月26日 02時06分00秒,桃園市龍潭區聖亭路260號前0.0公尺,1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人
109年01月26日 11時09分00秒,雲林縣虎尾鎮大屯路15-19號,1,自用-小客車;自用-小客車;乘客-人
109年01月26日 15時35分00秒,花蓮縣吉安鄉南濱路1段口 / 花蓮縣吉安鄉海岸路口,1,普通重型-機車;自用-小客車
109年01月26日 20時29分15秒,南投縣草屯鎮敦和里成功路口 / 南投縣草屯鎮敦和路,1,自用-小客車;自用-小客車;自用-小客車;自用-小客車;乘客-人
109年01月26日 21時43分00秒,彰化縣埔鹽鄉太平村成功路 / 彰化縣埔鹽鄉太平村番金路,1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人
109年01月27日 03時23分00秒,臺中市北屯區大坑里東山路二段158號前0.0公尺,1,普通重型-機車
109年01月27日 22時03分39秒,桃園市中壢區中原路東側 / 桃園市中壢區博愛三路,1,行人-人;普通重型-機車;自用-小客車
109年01月27日 23時42分00秒,嘉義市西區福民里新民路 / 嘉義市西區福民里重慶路,1,普通重型-機車;自用-小客車;自用-小客車
109年01月28日 02時47分00秒,臺中市西屯區福林里西屯路三段前0.0公尺,1,普通重型-機車;行人-人;普通重型-機車;普通重型-機車;普通重型-機車
109年01月28日 16時08分00秒,嘉義縣番路鄉觸口村觸口57號前(台18線33公里800公尺處),1,自用-小客車;行人-人;自用-小貨車(含客、貨兩用)
109年01月28日 19時55分00秒,臺中市豐原區東湳里國豐路二段前0.0公尺,1,自用-小客車;自用-小客車;普通重型-機車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人
109年01月29日 10時22分00秒,臺南市永康區中正路299號,1,營業用-全聯結車;腳踏自行車-慢車
109年01月29日 15時00分00秒,高雄市大樹區中正路 / 高雄市大樹區長春路,1,普通重型-機車;普通重型-機車
109年01月29日 19時30分00秒,彰化縣伸港鄉海尾村中興路2段383號前0.0公尺前,1,行人-人;自用-小客車
109年01月29日 22時45分00秒,臺北市大安區和平東路2段 / 臺北市大安區建國南路2段,1,自用-小客車;普通重型-機車
109年01月29日 23時35分00秒,桃園市平鎮區育達路口 / 桃園市平鎮區忠孝路口,1,營業用-小貨車(含客、貨兩用);普通重型-機車;普通重型-機車;普通重型-機車;乘客-人
109年01月30日 09時17分42秒,臺南市關廟區五甲里南雄路1段589號前0.0公尺,1,普通重型-機車;民營公車-大客車
109年01月30日 09時51分00秒,新竹縣竹北市西濱路二段與西濱路二段318巷口,1,自用-小客車;普通重型-機車
109年01月30日 17時07分00秒,高雄市三民區建工路 / 高雄市三民區建中路,1,普通重型-機車;普通重型-機車
109年01月30日 20時03分00秒,臺北市萬華區環河南路2段 / 臺北市萬華區環河南路2段,1,行人-人;自用-小客車
109年01月30日 21時16分00秒,高雄市大樹區統嶺路208號前0.0公尺,1,自用-小客車;行人-人
109年01月30日 21時23分00秒,屏東縣高樹鄉長美路1號,1,自用-小貨車(含客、貨兩用);大型重型1(550C.C.以上)-機車
109年01月31日 09時20分02秒,嘉義縣阿里山鄉樂野村1鄰樂野8號附6前,1,自用-小貨車(含客、貨兩用);行人-人
109年01月31日 09時28分20秒,桃園市平鎮區廣興路159號前0.0公尺,1,自用-小貨車(含客、貨兩用);行人-人
109年01月31日 10時48分00秒,臺東縣長濱鄉台11線 84公里500.0公尺處南側,1,普通重型-機車;自用-小客車
109年01月31日 11時04分00秒,高雄市鳳山區過埤路 / 高雄市鳳山區過埤路,1,自用-大貨車;普通重型-機車;自用-小客車
109年01月31日 18時11分00秒,桃園市龜山區振興路1169號前S109010780大埔所,1,普通重型-機車;行人-人
109年01月31日 18時21分00秒,嘉義縣朴子市竹圍里大同路298號西側,1,行人-人;自用-小客車
109年01月31日 23時30分00秒,臺中市霧峰區坑口里中正路前0.0公尺,1,普通重型-機車
109年02月02日 04時10分00秒,高雄市新興區六合一路 / 高雄市新興區林森一路,1,自用-小客車;自用-小客車;乘客-人;乘客-人
109年02月02日 20時39分00秒,高雄市燕巢區深中路3-20號前0.0公尺,1,普通重型-機車
109年02月03日 09時30分00秒,桃園市桃園區大興西路三段口 / 桃園市桃園區正光路口,1,自用-小客車;大型重型2(250-550C.C.)-機車
109年02月03日 09時57分00秒,彰化縣鹿港鎮東石里鹿工路前0.0公尺,1,營業用-曳引車;普通重型-機車;自用-小貨車(含客、貨兩用);自用-小客車;自用-大貨車;自用-小客車;自用-小貨車(含客、貨兩用);自用-小客車;自用-小客車
109年02月03日 11時56分08秒,苗栗縣造橋鄉平仁路37號附近,1,自用-小客車;自用-小客車;行人-人;普通重型-機車;普通重型-機車
109年02月03日 13時09分00秒,新竹市香山區中華路四段496號,1,營業用-大貨車;普通重型-機車
109年02月03日 14時40分00秒,新竹縣寶山鄉新湖路五段220巷附近,1,普通重型-機車;乘客-人
109年02月03日 16時52分00秒,高雄市鳥松區本館路42號前0.0公尺,1,自用-小貨車(含客、貨兩用);普通重型-機車
109年02月03日 21時03分00秒,新北市五股區凌雲路3段42-2號前0.0公尺,1,普通重型-機車;自用-小客車
109年02月03日 21時22分00秒,新北市三重區重新堤外道路前0.0公尺,1,普通重型-機車
109年02月04日 03時00分00秒,新北市板橋區大觀路2段156巷81號前0.0公尺,1,普通重型-機車;自用-小客車;普通重型-機車;自用-小客車
109年02月04日 03時39分11秒,桃園市中壢區大圳路1段766號前0.0公尺,1,自用-小貨車(含客、貨兩用);乘客-人
109年02月04日 08時19分00秒,桃園市大溪區石園路與落羽松路口,1,自用-小客車;普通重型-機車;自用-小客車
109年02月04日 12時06分00秒,彰化縣田尾鄉新生村福生巷 / 彰化縣田尾鄉新生村延平路,1,自用-小客車;普通重型-機車
109年02月04日 15時35分00秒,高雄市小港區高鳳路 / 高雄市小港區松興路,1,營業用-曳引車;普通重型-機車
109年02月04日 20時05分01秒,南投縣名間鄉國道3號 239公里200.0公尺處南側向外側,1,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-大貨車;自用-小客車
109年02月05日 06時48分00秒,新北市淡水區中正東路2段153號前0.0公尺,1,普通重型-機車;自用-小貨車(含客、貨兩用)
109年02月05日 07時30分00秒,臺中市北屯區仁和里松竹路三段610號前0.0公尺,1,普通重型-機車;普通重型-機車;自用-小客車;自用-小客車
109年02月05日 14時43分00秒,新北市林口區中湖路前0.0公尺,1,普通重型-機車;自用-小客車;營業用-大貨車
109年02月05日 18時30分00秒,高雄市鼓山區九如四路 / 高雄市鼓山區金川街,1,自用-小客車;行人-人
109年02月06日 04時45分00秒,臺中市霧峰區本堂里福新路35巷168號前0.0公尺,1,普通重型-機車
109年02月06日 07時18分00秒,高雄市大寮區光華路 / 高雄市大寮區華西路,1,自用-小客車;普通重型-機車
109年02月06日 11時30分00秒,苗栗縣大湖鄉苗130線0.2K,1,普通重型-機車
109年02月06日 13時15分00秒,屏東縣潮州鎮榮田路225巷7-1號前,1,營業用-大貨車;普通重型-機車
109年02月06日 20時39分00秒,臺中市大雅區二和里雅潭路四段646號前0.0公尺,1,普通重型-機車;行人-人;乘客-人
109年02月07日 02時01分00秒,新北市新莊區環漢路2段前0.0公尺,1,普通重型-機車
109年02月07日 03時14分24秒,桃園市龍潭區福龍路3段2巷前0.0公尺口,1,普通重型-機車
109年02月07日 04時58分00秒,桃園市龜山區長壽路130號(S109020141-龜山派出所),1,行人-人;自用-大貨車
109年02月07日 06時13分00秒,臺南市安南區公學路6段490巷前0.0公尺口,1,行人-人;自用-小貨車(含客、貨兩用);自用-小客車
109年02月07日 06時25分00秒,臺南市南區大成路東側 / 臺南市南區國民路東側,1,普通重型-機車
109年02月07日 07時49分00秒,彰化縣彰化市三村里三村路468號前0.0公尺,1,普通重型-機車
109年02月07日 07時53分00秒,桃園市蘆竹區台61線南下橋墩PA18號附近V109020143,1,普通重型-機車
