發生時間,發生地點,死亡人數,車種
109年01月01日 14時15分00秒,高雄市小港區沿海二路山明783燈桿號前0.0公尺,1,普通重型-機車
109年01月01日 17時58分00秒,新北市新店區祥和路 / 新北市新店區車子路,1,普通重型-機車;大型重型2(250-550C.C.)-機車
109年01月01日 21時57分00秒,臺中市潭子區東寶里雅潭路二段75號前0.0公尺,1,普通重型-機車;普通重型-機車
109年01月02日 05時40分00秒,彰化縣和美鎮地潭里彰新路6段182號前0.0公尺前,1,自用-小貨車(含客、貨兩用);腳踏自行車-慢車
109年01月02日 08時40分00秒,嘉義縣梅山鄉永興村台3線271.2公里,1,自用-小貨車(含客、貨兩用)
109年01月02日 09時00分00秒,雲林縣斗六市大同路34號前,1,自用-小貨車(含客、貨兩用);行人-人;自用-小貨車(含客、貨兩用)
109年01月02日 16時40分00秒,臺中市沙鹿區竹林里中山路前0.0公尺,2,租賃車-小客車;普通重型-機車;乘客-人;乘客-人
109年01月02日 19時21分00秒,新北市板橋區板城路85之1號前0.0公尺,1,普通重型-機車;營業用-大貨車;動力機械-其他車
109年01月02日 22時44分00秒,新北市八里區龍米路2段前0.0公尺,1,普通重型-機車
109年01月03日 02時38分00秒,新北市中和區景平路 / 新北市中和區景安路,1,自用-小貨車(含客、貨兩用);行人-人
109年01月03日 06時10分29秒,臺南市下營區開化里區道南61線口 / 臺南市下營區省道臺19甲線,1,自用-小客車
109年01月03日 07時43分13秒,桃園市龍潭區上華里中正路上華段81號前0.0公尺附近,1,普通重型-機車;自用-小客車
109年01月03日 08時56分00秒,臺北市南港區研究院路2段 / 臺北市南港區研究院路2段,1,自用-小客車;行人-人
109年01月03日 09時10分00秒,桃園市平鎮區快速路一段P276梁柱處附近,1,普通重型-機車;自用-小貨車(含客、貨兩用)
109年01月03日 10時29分00秒,臺中市南屯區文山里保安一街前0.0公尺,1,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小貨車(含客、貨兩用)
109年01月03日 14時17分00秒,臺中市南屯區文山里向上路五段前0.0公尺,2,營業用-曳引車;自用-小貨車(含客、貨兩用);乘客-人
109年01月03日 16時13分00秒,桃園市大溪區石園路463巷(電桿130號前),1,普通重型-機車;營業用-曳引車
109年01月04日 06時25分00秒,屏東縣屏東市博愛路附近 / 屏東縣屏東市崇武路附近,1,自用-小客車;行人-人
109年01月04日 11時03分25秒,苗栗縣造橋鄉朝楊村台13甲線6.8公里與產業道路口,1,自用-大貨車;大型重型1(550C.C.以上)-機車
