發生時間,發生地點,死亡人數,車種
107年1月1日 5時12分秒,彰化縣大村鄉貢旗村田洋巷7號前.公尺東側,1,自用-小客車腳踏自行車-慢車
107年1月1日 14時55分秒,桃園市蘆竹區大竹北路418號前.公尺北側,1,普通輕型-機車
107年1月1日 17時1分13秒,苗栗縣竹南鎮中美里澎湖厝83號前,1,自用-小客車乘客-人乘客-人乘客-人
107年1月1日 17時3分2秒,南投縣集集鎮投54 6公里西向中內,1,普通重型-機車民營公車-大客車
107年1月1日 19時3分秒,彰化縣和美鎮大霞里彰和路3段59號前.公尺前,1,自用-小客車行人-人自用-小客車
107年1月2日 9時51分秒,雲林縣虎尾鎮平和橋與防汛道路口,1,普通重型-機車自用-小客車
107年1月2日 1時分秒,桃園市中壢區中豐路北側 / 桃園市中壢區永嘉街,1,自用-小客車普通重型-機車乘客-人
107年1月2日 13時34分秒,新北市樹林區中正路 / 新北市樹林區三俊街,1,自用-大貨車普通重型-機車
107年1月2日 15時3分59秒,花蓮縣豐濱鄉台11線 67公里4.公尺處北,1,其他車-其他車
107年1月2日 16時1分秒,雲林縣元長鄉台19線元進莊路口,1,普通重型-機車民營客運-大客車
107年1月2日 16時1分秒,屏東縣新園鄉中慶巷,1,自用-全聯結車普通重型-機車乘客-人
107年1月2日 16時29分秒,臺中市東區旱溪里旱溪街前.公尺,1,普通重型-機車普通重型-機車
107年1月2日 19時55分秒,基隆市七堵區工建路184號前.公尺,1,自用-小客車普通重型-機車自用-小貨車(含客、貨兩用)自用-小客車
107年1月3日 14時47分秒,臺北市中山區民權東路2段 / 臺北市中山區松江路,1,民營公車-大客車行人-人
107年1月3日 16時1分秒,新北市新店區北宜路前.公尺,1,普通重型-機車自用-小客車
107年1月4日 6時4分秒,苗栗縣苗栗市嘉盛里經國路三段與育英街53巷路口,1,腳踏自行車-慢車自用-小客車
107年1月4日 8時58分秒,高雄市左營區新庄仔路46號前.公尺,1,普通重型-機車
107年1月4日 12時36分秒,彰化縣芳苑鄉頂廍村斗苑路頂廍段前.公尺,1,自用-小貨車(含客、貨兩用)普通重型-機車
107年1月4日 15時42分秒,臺南市永康區正強街西側 / 臺南市永康區正強街,1,腳踏自行車-慢車普通重型-機車
107年1月4日 19時42分47秒,臺南市仁德區上崙里義林南路東側 / 臺南市仁德區上崙里民安路,1,普通重型-機車自用-小貨車(含客、貨兩用)
107年1月5日 19時2分秒,屏東縣長治鄉台24線7號路燈前,1,自用-小客車腳踏自行車-慢車
107年1月5日 22時1分19秒,宜蘭縣礁溪鄉礁溪路2段柴圍橋,1,行人-人自用-小客車
107年1月6日 18時14分5秒,苗栗縣竹南鎮崎頂里西濱公路88.4公里往南快車道,1,普通重型-機車自用-小客車
107年1月7日 1時5分秒,高雄市大寮區鳳林三路637號前.公尺,1,普通重型-機車
107年1月7日 14時25分38秒,屏東縣內埔鄉昌南路(老埤幹TS36號電桿),1,普通重型-機車乘客-人
107年1月7日 16時34分秒,臺南市安平區永華路2段北側 / 臺南市安平區健康二街,1,普通輕型-機車自用-小客車乘客-人
107年1月7日 19時25分秒,澎湖縣湖西鄉縣22線 9公里55.公尺處東向外側,1,自用-小客車
107年1月8日 1時36分秒,屏東縣恆春鎮恆南路前.公尺,1,普通重型-機車
107年1月8日 7時9分51秒,花蓮縣壽豐鄉水璉村海岸公路前.公尺北側,1,自用-小客車
107年1月8日 7時47分31秒,嘉義縣民雄鄉平和村嘉76線4.1K,1,普通重型-機車自用-小客車
107年1月8日 11時分22秒,高雄市仁武區國道1號 3公里9.公尺處西向外側,1,營業用-半聯結車自用-小貨車(含客、貨兩用)自用-小客車營業用-半聯結車自用-小客車營業用-小貨車(含客、貨兩用)
107年1月8日 18時35分秒,臺南市安平區永華九街西側 / 臺南市安平區建平七街,1,普通輕型-機車自用-小客車
107年1月8日 22時39分秒,雲林縣斗六市石榴路與河南街口,1,自用-小客車
107年1月9日 時34分秒,彰化縣和美鎮好修里和港路784號前.公尺,2,自用-小客車電動自行車-慢車電動輔助自行車-慢車電動輔助自行車-慢車
107年1月9日 4時12分45秒,臺南市安定區國道1號 31公里北向中線,1,營業用-半聯結車自用-小貨車(含客、貨兩用)民營客運-大客車乘客-人乘客-人
107年1月9日 5時2分秒,臺北市信義區行人穿越道,1,自用-小貨車(含客、貨兩用)行人-人
107年1月9日 7時37分6秒,南投縣草屯鎮平林里健行路65巷29號前.公尺,1,自用-小貨車(含客、貨兩用)
107年1月9日 18時25分59秒,雲林縣北港鎮劉厝里民樂路397號前,1,自用-小貨車(含客、貨兩用)行人-人
107年1月9日 22時3分1秒,臺南市中西區府前路1段南側 / 臺南市中西區永福路1段,1,租賃車-小客車普通重型-機車
107年1月1日 時14分秒,金門縣金寧鄉桃園路138號路燈處號前.公尺,1,普通重型-機車自用-小客車乘客-人
107年1月1日 5時35分秒,雲林縣虎尾鎮穎川里頂南414號,1,自用-小客車
107年1月1日 13時2分秒,新北市三峽區復興路 / 新北市三峽區民生街,1,自用-小客車行人-人
107年1月1日 13時28分16秒,南投縣名間鄉南雲路 電線杆 名間幹253,1,自用-小客車
107年1月11日 6時11分秒,屏東縣屏東市和生路一段與歸仁路口,1,自用-大貨車普通重型-機車
107年1月11日 1時1分秒,屏東縣南州鄉台1線北向機慢車道424公里處,1,自用-小客車普通重型-機車
107年1月11日 11時3分秒,臺北市大安區信義路3段134巷前.公尺,1,租賃車-小客車行人-人
107年1月11日 16時分秒,高雄市三民區同盟二路215號號前.公尺前,1,自用-小貨車(含客、貨兩用)腳踏自行車-慢車
107年1月11日 17時5分秒,彰化縣彰化市延和里岸頭巷前.公尺,1,營業用-大貨車腳踏自行車-慢車自用-小貨車(含客、貨兩用)
107年1月12日 8時55分秒,高雄市鼓山區美術館路 / 高雄市鼓山區美術東四路,1,自用-小客車自用-小客車普通重型-機車
107年1月12日 9時32分秒,新北市瑞芳區明燈路2段 / 新北市瑞芳區逢甲路2段,1,民營客運-大客車普通重型-機車
107年1月12日 14時35分秒,臺中市豐原區豐圳里圓環西路前.公尺,1,普通重型-機車自用-小貨車(含客、貨兩用)
107年1月12日 17時2分23秒,屏東縣枋山鄉枋山村枋山路6號,1,自用-小客車
107年1月12日 2時分秒,屏東縣屏東市建國路241巷口,1,自用-小客車自用-小客車乘客-人乘客-人乘客-人
107年1月12日 2時56分秒,桃園市楊梅區楊明里新農街高公涵洞前,1,普通重型-機車營業用-大貨車
107年1月13日 時2分秒,屏東縣東港鎮光復路與新學路口,1,普通重型-機車
107年1月13日 3時分2秒,南投縣集集鎮台16線 5公里6.公尺處東向路肩,1,自用-小客車
107年1月13日 7時5分秒,雲林縣斗六市雲林路二段459-1號前,1,普通重型-機車自用-小客車乘客-人
107年1月13日 19時8分秒,屏東縣屏東市和平路南側 / 屏東縣屏東市建國路,1,自用-小客車普通重型-機車
107年1月14日 7時24分秒,彰化縣永靖鄉港西村永久路 / 彰化縣永靖鄉港西村中山路1段,1,普通重型-機車自用-小客車
107年1月14日 7時45分秒,彰化縣溪湖鎮東溪里員鹿路1段前.公尺,1,租賃車-小客車普通重型-機車
107年1月14日 1時37分秒,桃園市平鎮區中豐路西側 / 桃園市平鎮區中豐路,1,普通重型-機車自用-小客車自用-小客車自用-小客車
107年1月14日 14時3分11秒,臺南市仁德區保安里文賢路1段642號前.公尺,1,普通重型-機車
107年1月14日 15時58分秒,彰化縣永靖鄉五汴村中山路3段335號前.公尺,1,腳踏自行車-慢車自用-小客車
